step,energy
061200000,9674.17298663
061800000,9569.62612043
062400000,9557.97442806
063000000,9523.7897969
063600000,9541.7488841
064200000,9558.84119967
064800000,9383.39235513
065400000,9399.61789909
066000000,9349.20772398
066600000,9379.07793304
067200000,9315.02309282
067800000,9383.39235513
068400000,9315.02309282
069000000,9315.02309282
069600000,9525.52334014
070200000,9535.44148927
070800000,9512.95671332
071400000,9512.95671332
072000000,9517.48240207
072600000,9518.34917369
073200000,9478.77208216
073800000,9512.95671332
074400000,9537.434462
075000000,9507.56425294
075600000,9597.55151959
076200000,9626.34369037
076800000,9620.95122999
077400000,9586.76659884
078000000,9592.15905921
078600000,9823.41053925
079200000,9710.93849664
079800000,9659.66154991
080400000,9608.38460317
081000000,9659.66154991
081600000,9721.77158022
082200000,9704.67926464
082800000,9636.31000233
083400000,9731.68972936
084000000,9680.41278262
084600000,9732.55650098
085200000,9779.30775895
085800000,9863.03579361
086400000,9874.68748598
087000000,9914.26457751
087600000,9873.82071436
088200000,9856.72839878
088800000,9675.88709387
089400000,9687.58694907
090000000,9721.77158022
090600000,9755.95621138
091200000,9772.13359251
091800000,9835.11039445
092400000,9749.64881656
093000000,9699.23864144
093600000,9835.11039445
094200000,9862.12085916
094800000,9797.47811281
095400000,9802.65930653
096000000,9734.29004422
096600000,9710.93849664
097200000,9705.54603626
097800000,9772.13359251
098400000,9779.30775895
099000000,9834.24362283
099600000,9720.9048086
100200000,9720.9048086
100800000,9776.7074441
101400000,9897.22042476
102000000,9925.0976611
102600000,9875.5542576
103200000,9781.04130219
103800000,9716.33095702
104400000,9751.38235979
105000000,9655.13586115
105600000,9704.67926464
106200000,9738.8638958
106800000,9799.19222005
107400000,9918.8384291
108000000,9935.06397306
108600000,9992.55198896
109200000,9908.87211714
109800000,9915.17951196
110400000,10032.1772433
111000000,10123.0312816
111600000,10180.5674603
112200000,10086.3139344
112800000,10032.1772433
113400000,10117.6388212
114000000,10130.205448
114600000,10056.4437253
115200000,10179.0933466
