step,energy
000000000,56234.488393
000600000,19096.8690881
001200000,18457.3149796
001800000,18236.1747778
002400000,18102.7203032
003000000,17847.2670634
003600000,17554.0525941
004200000,17215.5408312
004800000,17401.2185107
005400000,17359.5671649
006000000,17145.5863652
006600000,17187.8766566
007200000,17212.3704238
007800000,17200.7681926
008400000,17591.2589918
009000000,17373.928143
009600000,17318.4861511
010200000,17169.3780428
010800000,17361.8215789
011400000,17055.1418909
012000000,17126.4340415
012600000,16998.5685296
013200000,17088.4581722
013800000,17203.6110536
014400000,16849.8699627
015000000,17017.4585698
015600000,17086.9234671
016200000,16730.3373963
016800000,16588.0604076
017400000,16648.5029153
018000000,16637.638508
018600000,16320.9901722
019200000,16335.4521477
019800000,16474.0031613
020400000,16648.5386496
021000000,16495.6393032
021600000,16383.1167619
022200000,17002.8829517
022800000,16722.1685921
023400000,16670.8411467
024000000,16842.5821537
024600000,16690.4501598
025200000,17104.4064732
025800000,16755.2575882
026400000,16958.8454344
027000000,16910.1335648
027600000,16914.8562967
028200000,16775.9117377
028800000,16646.4610221
029400000,16506.047021
030000000,16522.2078428
030600000,16664.4848315
031200000,16687.0524672
031800000,16637.703771
032400000,16724.9630735
033000000,16912.7639049
033600000,16790.651497
034200000,16907.5537234
034800000,16899.5133261
035400000,17104.9136612
036000000,17532.5805934
036600000,17220.5897266
037200000,17199.7714359
037800000,17306.9827983
038400000,17159.9818461
039000000,16988.1431924
039600000,17264.5283656
040200000,17027.8031437
040800000,17020.1057933
041400000,17081.0567206
042000000,17042.2651192
042600000,16960.3653752
043200000,16718.442617
043800000,16789.4927181
044400000,16766.1072312
045000000,16969.6298144
045600000,16977.4576908
046200000,16678.0153132
046800000,16569.2692457
047400000,16852.7780867
048000000,16867.4042034
048600000,16793.496477
049200000,16893.5484373
049800000,16966.3457643
050400000,16939.1711583
051000000,17114.4739992
051600000,17042.7218086
052200000,16722.2822347
052800000,16734.9317213
053400000,16669.0286578
054000000,16878.9075563
054600000,16871.9480297
055200000,16845.5407763
055800000,16839.4117462
056400000,16926.8015747
057000000,16835.7994137
057600000,16859.2985432
058200000,16627.8340015
058800000,16501.9956184
059400000,16517.1744478
060000000,16483.9213104
060600000,16770.2751314
061200000,16975.7443695
061800000,16474.934655
062400000,16559.742523
063000000,16542.5365648
063600000,16502.174524
064200000,16604.776797
064800000,16447.1063391
065400000,16504.9037423
066000000,16673.196558
066600000,16386.1890271
067200000,16113.529829
067800000,16128.6455145
068400000,16261.9358478
069000000,16259.0908678
069600000,16272.5708508
070200000,16315.0252834
070800000,16383.5081883
071400000,16484.8528042
072000000,16583.8448637
072600000,16538.9747309
073200000,16376.1067367
073800000,16555.9029053
074400000,16646.9029472
075000000,16349.2751776
075600000,16317.7061222
076200000,16760.5358878
076800000,16352.0043959
077400000,16386.1890271
078000000,16256.3468851
078600000,16345.8269863
079200000,16314.4368365
079800000,16236.9020132
080400000,16231.7549756
081000000,16411.6647867
081600000,16263.9124779
082200000,16638.1940757
082800000,16584.1226476
083400000,16439.2153188
084000000,16732.6423089
084600000,16197.2420619
085200000,16609.2701247
085800000,16538.9242323
086400000,16359.7817737
087000000,16618.8621104
087600000,16808.0215964
088200000,16663.8311215
088800000,16690.7784423
089400000,16623.6332219
090000000,16854.2167685
090600000,16363.5582475
091200000,16343.0808845
091800000,16350.9087609
092400000,16248.5190087
093000000,16431.9275098
093600000,16248.7967925
094200000,16461.1923885
094800000,16079.8502669
095400000,16229.5308262
096000000,16027.692325
096600000,16167.0611897
097200000,16239.9237797
097800000,16253.2396215
098400000,16549.3348051
099000000,16719.2759685
099600000,16541.1302666
100200000,16294.4847765
100800000,16411.5006455
101400000,16251.31349
102000000,16233.3401793
102600000,16496.9622234
103200000,16665.255039
103800000,16695.253655
104400000,16316.888271
105000000,16395.2261811
105600000,16469.7876174
106200000,16494.7709533
106800000,16364.4392426
107400000,16458.9379745
108000000,16127.2392163
108600000,16140.5907924
109200000,16259.4339146
109800000,16311.1856657
110400000,16179.7078213
111000000,16103.2833974
111600000,16151.1121528
112200000,16429.5720985
112800000,16001.3832139
113400000,16462.3356671
114000000,16615.5127974
114600000,16352.1517635
115200000,16275.4158308
115800000,16025.1096285
116400000,16140.2625099
117000000,16187.1597716
117600000,16019.8489483
118200000,15955.8088724
118800000,16086.6477712
119400000,16014.4872708
120000000,16157.3043268
120600000,15980.0248558
121200000,15852.5528894
121800000,15952.2470386
122400000,16198.6631244
123000000,16103.2833974
123600000,16437.3018326
124200000,15951.479686
124800000,16030.5849487
125400000,16623.6837206
126000000,16437.3018326
126600000,16457.2391282
127200000,16342.904098
127800000,16499.5925635
128400000,16480.8014016
129000000,16409.6376579
129600000,16423.3618095
130200000,16311.2993083
130800000,16272.8991333
131400000,16319.5186111
132000000,16316.888271
132600000,16484.476878
133200000,16268.8953743
133800000,16278.0461709
134400000,16357.1514336
135000000,16416.9254669
135600000,16647.180731
136200000,16200.6902532
136800000,16517.5027302
137400000,16160.3134481
138000000,16284.3541066
138600000,16206.0014321
139200000,16372.6585454
139800000,16176.4237712
140400000,16186.2282778
141000000,16226.7692242
141600000,16070.03026
142200000,16019.8489483
142800000,16244.025681
143400000,16200.8543945
144000000,16279.9091585
144600000,16155.8201204
145200000,16360.2889617
145800000,16267.3606692
146400000,16200.087042
147000000,16221.508544
147600000,16223.0937477
148200000,16521.0645641
148800000,16514.7082489
149400000,16375.2405059
150000000,16477.0901908
150600000,16411.3512686
151200000,16320.2859636
151800000,16296.8373328
152400000,16479.8030957
153000000,16424.7028447
153600000,16275.138047
154200000,16227.4229341
154800000,16163.8247833
155400000,16138.6773062
156000000,16114.2971816
156600000,16034.2604251
157200000,16151.2257954
157800000,16388.8193672
158400000,15924.6965065
159000000,16246.8201623
159600000,15967.2645817
160200000,15979.749927
160800000,16091.4546171
161400000,15879.1726637
162000000,15872.7658498
162600000,15585.6951749
163200000,15845.6417425
163800000,15631.6609428
164400000,15785.491783
165000000,16006.5962505
165600000,16288.2926025
166200000,16033.6719782
166800000,16132.5987748
167400000,16398.9521562
168000000,16064.0653712
168600000,15959.1105419
169200000,15859.0080829
169800000,15858.0765891
170400000,16033.6719782
171000000,16463.5449447
171600000,16085.7015131
172200000,16298.225516
172800000,16198.3524613
173400000,16237.0156558
174000000,16496.1443722
174600000,16426.2404048
175200000,16495.0992358
175800000,16272.0812821
176400000,16359.292205
177000000,16348.8992514
177600000,16115.849506
178200000,16268.5194482
178800000,16225.2345191
179400000,16098.4646423
180000000,16003.2133222
180600000,16341.725085
181200000,16139.6088
181800000,16519.658266
182400000,16521.9455593
183000000,16492.3047544
