step,energy
269400000,15516.13664
270000000,15369.7298306
270600000,15351.7839396
271200000,15444.7944805
271800000,15300.5069928
272400000,15206.1057735
273000000,15226.4208507
273600000,15186.0405608
274200000,15086.5844967
274800000,15256.9039414
275400000,15394.3711093
276000000,15448.1421743
276600000,15202.1543686
277200000,15176.7844467
277800000,15357.6257516
278400000,15401.4904469
279000000,15176.9093789
279600000,15339.6798605
280200000,15162.6768077
280800000,14977.9972507
281400000,15320.9470022
282000000,15232.1377305
282600000,15221.2410736
283200000,15382.0171658
283800000,15265.8435828
284400000,15340.533436
285000000,15440.1144323
285600000,15241.2023041
286200000,15289.8602004
286800000,15395.7617876
287400000,15409.7562738
288000000,15197.7032349
288600000,15409.7562738
289200000,15284.2682527
289800000,15392.6639583
290400000,15374.7298466
291000000,15587.3748172
291600000,15501.9132393
292200000,15355.3814978
292800000,15560.2511997
293400000,15328.2461008
294000000,15262.9746679
294600000,15359.2079704
295200000,15413.7076787
295800000,15450.7520542
296400000,15245.153709
297000000,15132.8065986
297600000,15207.3715196
298200000,15443.8159728
298800000,15253.0565187
299400000,15345.2134842
300000000,15562.4954535
300600000,15382.8707413
301200000,15549.0006962
301800000,15488.7723286
302400000,15503.3705259
303000000,15396.3654987
303600000,15490.8916502
304200000,15183.5955959
304800000,15603.7384895
305400000,15341.0239943
306000000,15395.8867198
306600000,15460.4295095
307200000,15405.6799368
307800000,15433.1691804
308400000,15361.0983776
309000000,15450.1575137
309600000,15286.5334566
310200000,15276.7402396
310800000,15337.8104033
311400000,15504.5231192
312000000,15040.8994976
312600000,15290.234997
313200000,15185.0385255
313800000,15271.4355304
314400000,15497.8369022
315000000,15345.2134842
315600000,15248.2633178
316200000,15256.9039414
316800000,15492.1200224
317400000,15444.9194127
318000000,15658.4788916
318600000,15272.892817
319200000,15282.5611017
319800000,15323.4411204
320400000,15317.921885
321000000,15333.2461168
321600000,15307.8060915
322200000,15335.4694207
322800000,15204.7734191
323400000,15030.3776373
324000000,15102.2195257
324600000,15301.735365
325200000,15234.3937638
325800000,15119.0619768
326400000,15126.3610755
327000000,15510.4898635
327600000,15276.4903752
328200000,15340.1704188
328800000,15319.2516306
329400000,15294.0614697
330000000,15334.5666918
330600000,15210.8441456
331200000,15165.8995692
331800000,15098.8718319
332400000,15218.7679053
333000000,15221.8657347
333600000,15077.578247
334200000,15064.5622685
334800000,15088.1118866
335400000,15314.3765468
336000000,15395.8867198
336600000,15389.0664001
337200000,15403.6215479
337800000,15452.6424614
338400000,15662.3145349
339000000,15413.1039676
339600000,15263.5235501
340200000,15210.7192134
340800000,15295.5770802
341400000,15405.5550046
342000000,15169.247263
342600000,15282.5611017
343200000,15015.6545078
343800000,15231.284155
344400000,15223.7469713
345000000,15032.8717556
345600000,15206.0509447
346200000,15434.8097231
346800000,15311.9407525
347400000,15223.256413
348000000,15152.143168
348600000,15439.1359246
349200000,15214.1918394
349800000,15477.5218251
350400000,15268.8164799
351000000,15135.3124963
351600000,15343.6430448
352200000,15664.3207037
352800000,15228.0613934
353400000,15489.6842281
354000000,15513.5759134
354600000,15545.1414941
355200000,15606.5864544
355800000,15327.5174575
356400000,15208.1211129
357000000,15470.8264375
357600000,15626.6726171
358200000,15586.2831567
